transcription,file_path
THE BIRCH CANOE SLID ON THE SMOOTH PLANKS,../transcripts/data/indian/speaker_02/indian_s02_001.txt
GLUE THE SHEET TO THE DARK BLUE BACKGROUND,../transcripts/data/indian/speaker_02/indian_s02_002.txt
IT'S EASY TO TELL THE DEPTH OF A WELL,../transcripts/data/indian/speaker_02/indian_s02_003.txt
THESE DAYS A CHICKEN LEG IS A RARE DISH,../transcripts/data/indian/speaker_02/indian_s02_004.txt
RICE IS OFTEN SERVED IN ROUND BOWLS,../transcripts/data/indian/speaker_02/indian_s02_005.txt
THE JUICE OF LEMONS MAKES FINE PUNCH,../transcripts/data/indian/speaker_02/indian_s02_006.txt
THE BOX WAS THROWN BESIDE THE PARKED TRUCK,../transcripts/data/indian/speaker_02/indian_s02_007.txt
THE HOGS WERE FED CHOPPED CORN AND GARBAGE,../transcripts/data/indian/speaker_02/indian_s02_008.txt
FOUR HOURS OF STEADY WORK FACED US,../transcripts/data/indian/speaker_02/indian_s02_009.txt
A LARGE SIZE AND STOCKINGS IS HARD TO SELL,../transcripts/data/indian/speaker_02/indian_s02_010.txt
THE BOY WAS THERE WHEN THE SUN ROSE,../transcripts/data/indian/speaker_02/indian_s02_011.txt
A ROD IS USED TO CATCH PINK SALMON,../transcripts/data/indian/speaker_02/indian_s02_012.txt
THE SOURCE OF THE HUGE RIVER IS THE CLEAR SPRING,../transcripts/data/indian/speaker_02/indian_s02_013.txt
KICK THE BALL STRAIGHT AND FOLLOW THROUGH,../transcripts/data/indian/speaker_02/indian_s02_014.txt
HELP THE WOMAN GET BACK TO HER FEET,../transcripts/data/indian/speaker_02/indian_s02_015.txt
A POT OF TEA HELPS TO PASS THE EVENING,../transcripts/data/indian/speaker_02/indian_s02_016.txt
SMOKY FIRES LACK FLAME AND HEAT,../transcripts/data/indian/speaker_02/indian_s02_017.txt
THE SOFT CUSHION BROKE THE MAN'S FALL,../transcripts/data/indian/speaker_02/indian_s02_018.txt
THE SALT BREEZE CAME ACROSS FROM THE SEA,../transcripts/data/indian/speaker_02/indian_s02_019.txt
THE GIRL AT THE BOOTH SOLD FIFTY BONDS,../transcripts/data/indian/speaker_02/indian_s02_020.txt
THE SMALL PUP GNAWED A HOLE IN THE SACK,../transcripts/data/indian/speaker_02/indian_s02_021.txt
