transcription,transcription_wav2vec2
THE BIRCH CANOE SLID ON THE SMOOTH PLANKS,THOUGH BIRCH CANOE SLID ON THE SMOTH PLANKS
GLUE THE SHEET TO THE DARK BLUE BACKGROUND,GLUE THE SHET TO THE DARK BLUE BACKGROUND
IT'S EASY TO TELL THE DEPTH OF A WELL,IT'S EASY TO TEL THE DEPTH OF A WEL
THESE DAYS A CHICKEN LEG IS A RARE DISH,THESE DAYS A CHICKEN LEG IS A RARE DISH
RICE IS OFTEN SERVED IN ROUND BOWLS,RICE IS OFTEN SERVED IN ROUND BOWLS
THE JUICE OF LEMONS MAKES FINE PUNCH,THE JUICE OF LEMONS MAKES FINE PUNCH
THE BOX WAS THROWN BESIDE THE PARKED TRUCK,THE BOX WAS THROWN BESIDE THE PARK DRUCK
THE HOGS WERE FED CHOPPED CORN AND GARBAGE,THE HOGS WERE FEL CHOPED CORN AND GARBAGE
FOUR HOURS OF STEADY WORK FACED US,FOUR HOURS OF STEADY WORK FACED US
A LARGE SIZE AND STOCKINGS IS HARD TO SELL,A LARGE SIZE IN STOCKINGS IS HARD TO SEL
THE BOY WAS THERE WHEN THE SUN ROSE,THE BOY WAS THERE WHEN THE SUN ROSE
A ROD IS USED TO CATCH PINK SALMON,A ROD IS USED TO CATCH PINK SALMON
THE SOURCE OF THE HUGE RIVER IS THE CLEAR SPRING,THE SOURCE OF THE HUGE RIVER IS THE CLEAR SPRING
KICK THE BALL STRAIGHT AND FOLLOW THROUGH,KICK THE BAL STRAIGHT AND FOLER THROUGH
HELP THE WOMAN GET BACK TO HER FEET,HELP THE WOMAN GET BACK TO HER FET
A POT OF TEA HELPS TO PASS THE EVENING,A PART OF TA HELPS TO PAS THE EVENING
SMOKY FIRES LACK FLAME AND HEAT,SMOKE Y FIRES LACK FLAME AND HEAT
THE SOFT CUSHION BROKE THE MAN'S FALL,THE SOFT CUSHION BROKE THE MAN'S FAWL
THE SALT BREEZE CAME ACROSS FROM THE SEA,THE SALT BREZE CAME ACROS FROM THE SEA
THE GIRL AT THE BOOTH SOLD FIFTY BONDS,THE GIRL AT THE BOTH SOLD FIFTY BONS
THE SMALL PUP GNAWED A HOLE IN THE SACK,THE SMAL POP GNAWED A HOLE IN THE SOCK
THE FISH TWISTED AND TURNED ON THE BENT HOOK,THE FISH TWISTED AND TURN ON THE BENT HOK
PRESS THE PANTS AND SEW BUTTON ON THE VEST,BRUST THE PANTS AND SEWA BUTON ON THE REST
THE SWAN DIVE WAS FAR SHORT OF PERFECT,THE SWANDIVE WAS FAR SHORT OF PERFECT
THE BEAUTY OF THE VIEW STUNED THE YOUNG BOY,THE BEAUTY OF THE VIEW SON THE YOUNG BOY
TWO BLUE FISH SWAM IN THE TANK,TWO BLUE FISH SWIM IN THE DANK
HER PURSE WAS FULL OF USELESS TRASH,HER PURSE WAS FUL OF USELES TRASH
THE COLT REARED AND THREW THE TALL RIDER,THE COULT REARED AND THROUGH THE TAL RIDER
IT SNOWED,IT SNOWED
RAINED,RAIN
AND HAILED THE SAME MORNING,AND HELD THE SAME MOURNING
READ VERSE OUT LOUD FOR PLEASURE,READ VERSE OUT LOUD FOR PLEASURE
HOIST THE LOAD TO YOUR LEFT SHOULDER,POIST THE LOAD TO YOUR LEFT SHOULDER
TAKE THE WINDING PATH TO REACH THE LAKE,TAKE THE WHINING PATH TO REACH THE LAKE
NOTE CLOSELY THE SIZE OF THE GAS TANK,NOTE CLOSELY THE SIZE OF THE GAS DANK
WIPE THE GREASE OFF HIS DIRTY FACE,WIPE THE GREASE OF HIS DIRTY FACE
MEND THE COAT BEFORE YOU GO OUT,MEN THE CODE BEFORE YOU GO OUT
THE WRIST WAS BADLY STRAINED AND HUNG LIMP,THE WRIST WAS BADLY STRAINED AND HUNG LIMB
THE STRAY CAT GAVE BIRTH TO KITTENS,THE STRAY CAT GAVE BIRTH TO KINS
THE YOUNG GIRL GAVE NO CLEAR RESPONSE,THE YOUNG GIRL GIVE NO CLEAR RESPONSE
THE MEAL WAS COOKED BEFORE THE BELL RANG,THE MEAL WAS COKED BEFORE THE BEL RANG
WHAT JOY THERE IS IN LIVING,WHAT JOY THERE IS IN LIVING
A KING RULED THE STATE IN THE EARLY DAYS,A KING RULED THE STATE IN THE EARLY DAYS
THE SHIP WAS TORN APART ON THE SHARP REEF,THE SHIP WAS DORN APART ON THE SHAR PREF
SICKNESS KEPT HIM HOME THE THIRD WEEK,SICKNES KEPT HIM HOME THE THIRD WEK
THE WIDE ROAD SHIMMERED IN THE HOT SUN,THE WIDE ROAD SHIMERED IN THE HOT SUN
THE LAZY COW LAY IN THE COOL GRASS,THE LOZY CALAIY IN THE COL GRAS
LIFT THE SQUARE STONE OVER THE FENCE,LIFT THE SQUARE STONE OVER THE FENCE
THE ROPE WILL BIND THE SEVEN BOOKS AT ONCE,THE ROPE WIL BINE THE SEVEN BOKS AT ONCE
HOP OVER THE FENCE AND PLUNGE IN,HOP OVER THE FENCE AND PLUNGE IN
THE FRIENDLY GANG LEFT THE DRUG STORE,THE FRIENDLY GANG LEFT THE DRUG STORE
MESH WIRE KEEPS CHICKS INSIDE,MESH WIRE KEPS CHICKS INSIDE
THE FROSTY AIR PASSED THROUGH THE COAT,THE FROSTY AIR PASED THROUGH THE COAT
THE CROOKED MAZE FAILED TO FOOL THE MOUSE,THE CROKED MACE FEL TO FOL THE MOUSE
ADDING FAST LEADS TO WRONG SUMS,ADING FAST LEADS TO WRONG PSALMS
THE SHOW WAS A FLOP FROM THE VERY START,THE SHOM WAS A FLOP FROM THE VERY START
A SAW AS A TOOL USED FOR MAKING BOARDS,A SAW IS A TOL USED FOR MAKING BOARDS
THE WAGON MOVED ON WELL OILED WHEELS,THE WAGON MOVED ON WEL OILED WHELS
MARCH THE SOLDIERS PAST THE NEXT HILL,MARCH THE SOLDIERS PAST THE NEXT HIL
A CUP OF SUGAR MAKES SWEET FUDGE,A CUP OF SUGAR MAKES SWET FUDGE
PLACE A ROSEBUSH NEAR THE PORCH STEPS,PLACE A ROSE BUSH NEAR THE PORCH STEPS
BOTH LOST THEIR LIVES IN THE RAGING STORM,BOTH LOST THEIR LIVES IN THE RAGING STORM
WE TALKED OF THE SIDE SHOW IN THE CIRCUS,WE TALKED OF THE SIDE SHOW IN THE CIRCUS
USE A PENCIL TO WRITE THE FIRST DRAFT,USE A PENCIL TO WRITE THE FIRST DRAUGHT
