transcription,transcription_whisper_base_en
THE BIRCH CANOE SLID ON THE SMOOTH PLANKS, The birch can now slid on the smooth planks.
GLUE THE SHEET TO THE DARK BLUE BACKGROUND, Glue the sheet to the dark blue background.
IT'S EASY TO TELL THE DEPTH OF A WELL, It's easy to tell the depth of a well.
THESE DAYS A CHICKEN LEG IS A RARE DISH, These days a chicken leg is a rare dish.
RICE IS OFTEN SERVED IN ROUND BOWLS, Rice is often served in round bowls.
THE JUICE OF LEMONS MAKES FINE PUNCH, The juice of lemons makes fine punch.
THE BOX WAS THROWN BESIDE THE PARKED TRUCK, The box was thrown beside the park truck.
THE HOGS WERE FED CHOPPED CORN AND GARBAGE, The hogs were fed chopped corn and garbage.
FOUR HOURS OF STEADY WORK FACED US, Four hours of steady work faced us.
A LARGE SIZE AND STOCKINGS IS HARD TO SELL, A large size in stockings is hard to sell.
THE BOY WAS THERE WHEN THE SUN ROSE, The boy was there when the sun rose.
A ROD IS USED TO CATCH PINK SALMON, A rod is used to catch pink salmon.
THE SOURCE OF THE HUGE RIVER IS THE CLEAR SPRING, The source of the huge river is the clear spring.
KICK THE BALL STRAIGHT AND FOLLOW THROUGH, Kick the ball straight and follow through
HELP THE WOMAN GET BACK TO HER FEET, Help the woman get back to her feet
A POT OF TEA HELPS TO PASS THE EVENING, A pot of tea helps to pass the evening.
SMOKY FIRES LACK FLAME AND HEAT, Smokey fires lack flame and heat.
THE SOFT CUSHION BROKE THE MAN'S FALL, The soft cushion broke the man's fall.
THE SALT BREEZE CAME ACROSS FROM THE SEA, The salt breeze came across from the sea.
THE GIRL AT THE BOOTH SOLD FIFTY BONDS, The girl at the booth sold 50 bonds.
THE SMALL PUP GNAWED A HOLE IN THE SACK, the small part not a hole in the sock
THE FISH TWISTED AND TURNED ON THE BENT HOOK, The fish twisted and turned on the bent hook.
PRESS THE PANTS AND SEW BUTTON ON THE VEST, Press the pants and sew a button on the rest.
THE SWAN DIVE WAS FAR SHORT OF PERFECT, This one dive was far short of perfect.
THE BEAUTY OF THE VIEW STUNED THE YOUNG BOY, The beauty of the views and the young boy.
TWO BLUE FISH SWAM IN THE TANK, Two blue fish swam in the tank.
HER PURSE WAS FULL OF USELESS TRASH, Her purse was full of useless trash.
THE COLT REARED AND THREW THE TALL RIDER, The cult reared and threw the tall rider.
IT SNOWED, It's node.
RAINED, rained
AND HAILED THE SAME MORNING, and held the same morning.
READ VERSE OUT LOUD FOR PLEASURE, Read for Sout Loud for Pleasure
HOIST THE LOAD TO YOUR LEFT SHOULDER, Place the low to your left shoulder
TAKE THE WINDING PATH TO REACH THE LAKE, Take the winding path to reach the lake.
NOTE CLOSELY THE SIZE OF THE GAS TANK, Note closely the size of the gas tank
WIPE THE GREASE OFF HIS DIRTY FACE, Wipe the grease off his dirty face
MEND THE COAT BEFORE YOU GO OUT, Min the code before you go out
THE WRIST WAS BADLY STRAINED AND HUNG LIMP, The wrist was badly strained and hung limp.
THE STRAY CAT GAVE BIRTH TO KITTENS, The stray cat gave birth to kittens.
THE YOUNG GIRL GAVE NO CLEAR RESPONSE, The young girl gave no clear response.
THE MEAL WAS COOKED BEFORE THE BELL RANG, The meal was cooked before the bell rang.
WHAT JOY THERE IS IN LIVING, What joy there is in living.
A KING RULED THE STATE IN THE EARLY DAYS, A king ruled the state in the early days.
THE SHIP WAS TORN APART ON THE SHARP REEF, The ship was torn apart on the shore of Preef.
SICKNESS KEPT HIM HOME THE THIRD WEEK, Sickness kept him home the third week.
THE WIDE ROAD SHIMMERED IN THE HOT SUN, The wide road shimmered and the hot sun.
THE LAZY COW LAY IN THE COOL GRASS, The Lazy Cali in the Cool Grass
LIFT THE SQUARE STONE OVER THE FENCE, Lift the square stone over the fence.
THE ROPE WILL BIND THE SEVEN BOOKS AT ONCE, The rope will bind the 7 bucks at once.
HOP OVER THE FENCE AND PLUNGE IN, Hop over the fence and plunge in.
THE FRIENDLY GANG LEFT THE DRUG STORE, The friendly gang left the drugstore.
MESH WIRE KEEPS CHICKS INSIDE, mesh wire keeps chicks inside
THE FROSTY AIR PASSED THROUGH THE COAT, The frosty air passed through the coat.
THE CROOKED MAZE FAILED TO FOOL THE MOUSE, The crooked maze fell to frole the mouse.
ADDING FAST LEADS TO WRONG SUMS, Adding fast leads to wrong sums.
THE SHOW WAS A FLOP FROM THE VERY START, The show was a flop from the very start.
A SAW AS A TOOL USED FOR MAKING BOARDS, Asa is a tool used for making boards.
THE WAGON MOVED ON WELL OILED WHEELS, The wagon moved on well-oiled wheels.
MARCH THE SOLDIERS PAST THE NEXT HILL, March the soldiers past the next hill
