transcription,transcription_whisper_base
THE BIRCH CANOE SLID ON THE SMOOTH PLANKS, The birch can be slid on the smooth planks.
GLUE THE SHEET TO THE DARK BLUE BACKGROUND, Glue the sheet to the dark blue background.
IT'S EASY TO TELL THE DEPTH OF A WELL, It's easy to tell the depth of a well.
THESE DAYS A CHICKEN LEG IS A RARE DISH, These days the chicken lag is a rare dish.
RICE IS OFTEN SERVED IN ROUND BOWLS, Rice is often served in round bowls.
THE JUICE OF LEMONS MAKES FINE PUNCH, The juice of lemons makes fine punch.
THE BOX WAS THROWN BESIDE THE PARKED TRUCK, The box was thrown beside the park truck.
THE HOGS WERE FED CHOPPED CORN AND GARBAGE, The hogs were fed chopped corn and garbage.
FOUR HOURS OF STEADY WORK FACED US, Four hours of study work faced us.
A LARGE SIZE AND STOCKINGS IS HARD TO SELL, A large size in stockings is hard to sell.
THE BOY WAS THERE WHEN THE SUN ROSE, The boy was there when the sun rose.
A ROD IS USED TO CATCH PINK SALMON, A rod is used to catch pink salmon.
THE SOURCE OF THE HUGE RIVER IS THE CLEAR SPRING, The source of the huge river is the clear spring.
KICK THE BALL STRAIGHT AND FOLLOW THROUGH, Kick the ball straight and follow through.
HELP THE WOMAN GET BACK TO HER FEET, Help the woman get back to her feet.
A POT OF TEA HELPS TO PASS THE EVENING, a part of tea helps to pass the evening.
SMOKY FIRES LACK FLAME AND HEAT, Smoke you fire's lack flame and heat.
THE SOFT CUSHION BROKE THE MAN'S FALL, The soft cushion broke the man's floor.
THE SALT BREEZE CAME ACROSS FROM THE SEA, The salt breeze came across from the sea.
THE GIRL AT THE BOOTH SOLD FIFTY BONDS, The girl at the booth sold 50 bonds.
THE SMALL PUP GNAWED A HOLE IN THE SACK, This small pup nod a hole in the sock.
THE FISH TWISTED AND TURNED ON THE BENT HOOK, The fish twisted and turned on the bent hook.
PRESS THE PANTS AND SEW BUTTON ON THE VEST, Press the pants and sew a button on the rest.
THE SWAN DIVE WAS FAR SHORT OF PERFECT, This one dive was far short of perfect.
THE BEAUTY OF THE VIEW STUNED THE YOUNG BOY, The beauty of the views and the young boy.
TWO BLUE FISH SWAM IN THE TANK, To Bluefish Swim in the Tank
HER PURSE WAS FULL OF USELESS TRASH, Purpose was full of useless trash.
THE COLT REARED AND THREW THE TALL RIDER, The cold reared and through the toleriter.
IT SNOWED, It's snowed.
RAINED, Rained.
AND HAILED THE SAME MORNING, and held the same warning.
READ VERSE OUT LOUD FOR PLEASURE, Read for sought-loud for pleasure.
HOIST THE LOAD TO YOUR LEFT SHOULDER, hoist the low to your left shoulder
TAKE THE WINDING PATH TO REACH THE LAKE, Take the winding path to reach the lake.
NOTE CLOSELY THE SIZE OF THE GAS TANK, Note closely the size of the gas tank.
WIPE THE GREASE OFF HIS DIRTY FACE, Wipe the grease off his dirty face.
MEND THE COAT BEFORE YOU GO OUT, Min the code before you go out.
THE WRIST WAS BADLY STRAINED AND HUNG LIMP, The wrist was badly strained and hung limp.
