transcription,file_path
THE POB JERKED THE LISH AS HE SAW A FELINE SHAPE,indian_s02_722.txt
THE SHIP WAS TORN APART ON THE SHARP REEF,indian_s02_044.txt
HOP OVER THE FENCE AND PLUNGE IN,indian_s02_050.txt
A PINK SHELL WAS FOUND ON THE SANDY BEACH,indian_s02_736.txt
A TAM SQUIRREL MAKES A NICE PECT,indian_s02_078.txt
THE LAWYER TRIED TO LOSE HIS GAZE,indian_s02_087.txt
THE SLUSH LAY DEEP ALONG THE STREET,indian_s02_093.txt
THIS IS THE BEST BRAND OF CORN,indian_s02_246.txt
WE DRESS TO SUIT THE WEATHER OF MOST DAYS,indian_s02_520.txt
THE PLEASANT HOURS FLY BY MUCH TOO SOON,indian_s02_534.txt
THE BIRCH LOOKED STAR QUITE ANDLONESOME,indian_s02_252.txt
A SIP OF TEA REVIVES HIS TIRED FRIEND,indian_s02_508.txt
THE JONKYARD HAD A MOULDY SMELL,indian_s02_285.txt
A CLOUD OF DUST STUNG HIS TENDER EYES,indian_s02_291.txt
HE SMOKE A BIG PIPE WITH STRONG CONTENTS,indian_s02_332.txt
THE BLOOM OF THE ROSE LASTS A FEW DAYS,indian_s02_454.txt
SAY IT SLOWLY BUT MAKE A TRING CLEAR,indian_s02_440.txt
THE NOZZLE OF THE FIREHOSE WAS BRIGHT BRASS,indian_s02_326.txt
TURN OUT THE LANTERN WHICH GIVES US SLIGHT,indian_s02_468.txt
THE ODOR OF SPRING MAKES YOUNG HARDS JUMP,indian_s02_497.txt
THE CHAIR LOOKED STRONG BUT AT NO BOTTOM,indian_s02_483.txt
IT WAS DONE BEFORE THE BOY COULD SEE IT,indian_s02_656.txt
IT CAUGHT ITS HINT PAW IN A RUSTY TRAP,indian_s02_130.txt
DIBOUT THREE LISTS OF ORDERS,indian_s02_124.txt
THE LATCH ON THE BACKGATE NEEDED AN AIL,indian_s02_642.txt
BURNEBEAT AFTER THE LOGS GIVE OUT,indian_s02_118.txt
THE NIGHT SHIFT MENRITEXTRA BA,indian_s02_695.txt
THE SLAP WAS HEWN FROM HEAVY BLOCKS OF SLATE,indian_s02_681.txt
GOD IS THE MEAN BUSINESS OF THE NOTH SHOW,indian_s02_680.txt
PUT THE CHARGE ON THE MANTLE AND PACKET DOWN,indian_s02_694.txt
HE ORDERED PEACH BY WITH ICE CREAM,indian_s02_119.txt
THE HARDER HE TRIED THE LESS HE GOT DONE,indian_s02_125.txt
THE GOOSE WAS BROUGHT STRAIGHT FROM THE OLD MARKET,indian_s02_643.txt
CROUCH BEFORE YOU JUMP ON MISTER MARK,indian_s02_657.txt
THE WHARF COULD BE SEEN AT THE FATHER SHOW,indian_s02_131.txt
BUD AND DEATH MARKS THE LIMITS OF LIFE,indian_s02_482.txt
SHUT THE HATCH BEFORE THE WAVES PUSH IT IN,indian_s02_496.txt
THE CLEAP SANK DEEPLY INTO THE SOFT DURF,indian_s02_469.txt
THE STRAW NEST HOUSED FIVE ROBINS,indian_s02_441.txt
SCREW THE ROAN CAPON AS TIGHT AS NEEDED,indian_s02_327.txt
WE NEED GRAIN TO KEEP OUR MULES HEALTHY,indian_s02_333.txt
A GRAYMARE WALKED BEFORE THE COLT,indian_s02_455.txt
ALL SAT FROZEN AND WATCHED THE SCREEN,indian_s02_290.txt
NINE MEN WERE HIRED TO DIG THE RUINS,indian_s02_284.txt
THERE ARE MANY WAYS TO DO THESE THINGS,indian_s02_509.txt
THE ROOM WAS CROWDED WITH A WILD MOB,indian_s02_535.txt
THE BOX IS HELD BY A BRIGHT RED SNAPPER,indian_s02_253.txt
ON THE ISLANDS THE SEA BREEZE IS SOFT AND MILD,indian_s02_247.txt
SMILE WHEN YOU SEE NASTY WORDS,indian_s02_521.txt
HE LAY PRUNE AND HARDLY MOVED A LIMP,indian_s02_092.txt
THE HAT BRIM WAS WIDE AND TOO DROUPY,indian_s02_086.txt
THE HAWN OF THE GARL WOKE THE SLEEPING COP,indian_s02_079.txt
THE FRIENDLY GANG LEFT THE DRUG STALL,indian_s02_051.txt
SMALL CHILDREN CAME TO SEE HIM,indian_s02_737.txt
OPEN YOUR BOOK TO THE FIRST PAGE,indian_s02_723.txt
SICKNESS KEPT HIM HOME THE THIRD WEEK,indian_s02_045.txt
SHE SAW A CAT IN THE NEIGHBORS HOUSE,indian_s02_735.txt
THE FROSTY AIR PASSED THROUGH THE COAT,indian_s02_053.txt
THE LAZY COW LAY IN THE COOL GRASS,indian_s02_047.txt
THE STREETS ARE NARROW AND FULL OF SHARP DUNS,indian_s02_721.txt
THE GLASS ON TOP MADE IT UNFIT TO READ,indian_s02_709.txt
MEN STRIVE BUT SELDOM GET RICE,indian_s02_090.txt
SEE THE CAT GLARING AT THE SCARED MOUSE,indian_s02_084.txt
THE RUSH FOR FUNDS REACHED ITS BEAK TUESDAY,indian_s02_251.txt
SHE BLUSHED WHEN HE GAVE HER A WHITE OCED,indian_s02_537.txt
THE WATER IN THE SWELL IS A SOURCE OF GOOD HEALTH,indian_s02_523.txt
MADAM,indian_s02_245.txt
FIND THE TWIN WHO'S STOLE THE PEARL NECKLACE,indian_s02_279.txt
TO REACH THE END HE NEEDS MUCH COURAGE,indian_s02_292.txt
THE FLINT PUTTERED AND LIT A PINE TORCH,indian_s02_286.txt
THE QUICK FOX JUMPED ON THE SLEEPING CAT,indian_s02_325.txt
THIS HORSEWILL KNOWS HIS WAY TO THE FINISH,indian_s02_443.txt
BOTTLES HOLD FOR KINDS OF RUM,indian_s02_457.txt
FILL THE INK JAR WITH STICKY GLUE,indian_s02_331.txt
THE FIGHT WILL END IN JUST SIX MINUTES,indian_s02_319.txt
FLY BY NIGHT AND DO WASTE LITTLE TIME,indian_s02_480.txt
A FENCE GOTS THROUGH THE CONNEL LONT,indian_s02_494.txt
PITCH THE STRAW THROUGH THE DOOR OF THE STABLE,indian_s02_641.txt
THE CUP CRACKED AND SPILLDITS CONTENTS,indian_s02_127.txt
THE TINY GIRL TOOK OFF HER HAT,indian_s02_133.txt
A STREAK OF COLLAR RAN DOWN THE LEFT EDGE,indian_s02_655.txt
THE HITCH BETWEEN THE HORSE AND CART BROKE,indian_s02_669.txt
DUNK THE STALE BISCUITS INTO STRONG DRINK,indian_s02_682.txt
THE RED PAPER BRIGHTENED THE DIM STAGE,indian_s02_696.txt
SEE THE PLAYARS COUT TO TURD BAYS,indian_s02_697.txt
HANGTON SIL FROM BOAT BRANCHES,indian_s02_683.txt
THE HORSE BALKED AND THREW THE TALL RIDER,indian_s02_668.txt
FEEL THE HEAT OF THE WEAK DYING FLAME,indian_s02_132.txt
A CRUISE IN WARM WATERS IN A SLEEK YAUCHT IS FUN,indian_s02_654.txt
THE INTIN CHINA HAS A SWEET BASTE,indian_s02_640.txt
